,Suburb,VALUE,SUM,Losses,TOTAL
0,AVONDALE,Total Water Demand,134522,57652.31641,192174.2344
1,BEACONVALE,Total Water Demand,96244,41247.42578,137491.4063
2,BELLAIR,Total Water Demand,20134,8628.856445,28762.86133
3,BELLVILLE CBD,Total Water Demand,108972,46702.27734,155674.2813
4,BELLVILLE SOUTH,Total Water Demand,102858,44081.96484,146939.875
5,BELRAIL,Total Water Demand,12963,5555.573242,18518.57031
6,BISHOP LAVIS,Total Water Demand,80471,34487.53906,114958.7422
7,BLOMMENDAL,Total Water Demand,21162,9069.430664,30231.42773
8,BLOMTUIN,Total Water Demand,14143,6061.285645,20204.30078
9,BONTEHEUWEL,Total Water Demand,419126,179625.4844,598751.8125
10,BOQUINAR INDUSTRIAL AREA,Total Water Demand,839826,359925.4688,1199751.75
11,BOSBELL,Total Water Demand,1435,615,2050
12,BOSTON,Total Water Demand,97822,41923.69141,139745.8281
13,BOTHASIG,Total Water Demand,90602,22650.5,113252.5
14,CHARLESVILLE,Total Water Demand,6837,2930.141602,9767.145508
15,CHRISMAR,Total Water Demand,54723,23452.71289,78175.70313
16,CHURCHILL ESTATE,Total Water Demand,87515,37506.40234,125021.4063
17,CLAMHALL,Total Water Demand,14820,6351.429199,21171.41992
18,CROSSROADS,Total Water Demand,0,0,0
19,DE DUIN,Total Water Demand,9240,3960.000488,13200.00195
20,DE TIJGER,Total Water Demand,36259,15539.57422,51798.5625
21,DRIFTSANDS_KHAYA,Total Water Demand,0,0,0
22,DUNOON,Total Water Demand,2169,929.5714111,3098.571533
23,DUNROBIN,Total Water Demand,326,139.7142792,465.7142639
24,EDGEMEAD,Total Water Demand,90231,38670.38281,128901.5859
25,ELSIES RIVER,Total Water Demand,31901,13671.86426,45572.85938
26,FAIRFIELD ESTATE,Total Water Demand,67942,29117.99609,97059.99219
27,FLORIDA,Total Water Demand,48090,20610.00195,68700.00781
28,GLENHAVEN,Total Water Demand,9589,4109.571777,13698.57617
29,GLENLILY,Total Water Demand,78994,33854.55469,112848.625
30,GREENLANDS,Total Water Demand,49595,21255,70850.02344
31,GROENVALLEI,Total Water Demand,58466,25056.84766,83522.89063
32,HARDEKRAALTJIE,Total Water Demand,6809,2918.142822,9727.142578
33,HEEMSTEDE,Total Water Demand,10721,4594.714355,15315.71387
34,JOUBERTPARK,Total Water Demand,1619,693.8571777,2312.856934
35,KAAPZICHT,Total Water Demand,23311,9990.428711,33301.43359
36,KALKSTEENFONTEIN,Total Water Demand,15508,6646.283691,22154.29688
37,KEMPENVILLE,Total Water Demand,41299,17699.56445,58998.59375
38,KLEINBOSCH,Total Water Demand,21134,9057.430664,30191.42188
39,KLIPKOP,Total Water Demand,53764,23041.72656,76805.69531
40,LA ROCHELLE,Total Water Demand,6925,2967.856445,9892.857422
41,LABIANCE,Total Water Demand,158503,67929.85938,226432.8594
42,LOEVENSTEIN,Total Water Demand,0,0,0
43,LOUMAR,Total Water Demand,3024,1296.000122,4320.000488
44,MARINDA PARK,Total Water Demand,2905,1244.999756,4150
45,MATROOSFONTEIN,Total Water Demand,14765,6327.858887,21092.83789
46,MEYERHOF,Total Water Demand,1437,615.8572388,2052.857178
47,MILNERTON,Total Water Demand,0,0,0
48,MONTAGUE,Total Water Demand,1381,591.8571777,1972.857056
49,MONTE VISTA,Total Water Demand,60855,26080.70703,86935.75781
50,MONTEVIDEO,Total Water Demand,5177,2218.714111,7395.713379
51,NOOITGEDACHT,Total Water Demand,13076,5603.996582,18680.00977
52,NORTHGATE,Total Water Demand,24572,10530.8623,35102.84375
53,NO_CATEGORY,Total Water Demand,5761046,2469002,8230155.5
54,OAKDALE,Total Water Demand,149669,64143.85156,213812.75
55,OAKGLEN,Total Water Demand,86842,37217.98828,124060.0234
56,PANORAMA,Total Water Demand,69375,29732.11914,99107.15625
57,PAROW,Total Water Demand,73529,31512.42969,105041.4141
58,PAROW EAST,Total Water Demand,131525,56367.86328,187892.875
59,PAROW NORTH,Total Water Demand,173527,74368.66406,247895.7031
60,PAROW VALLEY,Total Water Demand,132529,56798.10938,189327.1563
61,RAVENSMEAD,Total Water Demand,227059,97311.01563,324369.9063
62,RICHMOND,Total Water Demand,9191,3939,13130
63,RICHMOND ESTATE,Total Water Demand,75028,32154.84961,107182.8359
64,RICHMOND PARK,Total Water Demand,0,0,0
65,RICHWOOD,Total Water Demand,13810,3452.5,17262.5
66,RUYTERWACHT,Total Water Demand,46558,19953.41992,66511.40625
67,SANLAMHOF,Total Water Demand,5240,2245.714355,7485.713867
68,SAXON INDUSTRIAL,Total Water Demand,10549,4521,15070
69,SHIRLEY PARK,Total Water Demand,2222,952.2858276,3174.2854
70,SONNENDAL,Total Water Demand,7737,3315.858154,11052.85742
71,STIKLAND,Total Water Demand,1517,650.1428833,2167.142822
72,STIKLAND HOSPITAAL,Total Water Demand,0,0,0
73,TRIANGLE FARM,Total Water Demand,11737,5030.14209,16767.14648
74,TYGERBERG HOSPITAL,Total Water Demand,11313,4848.428711,16161.42871
75,TYGERDAL,Total Water Demand,15802,6772.282227,22574.28516
76,TYG_UNKNOWN,Total Water Demand,10,4.285714149,14.28571415
77,UWC,Total Water Demand,0,0,0
78,VALHALLA PARK,Total Water Demand,63098,27041.99023,90140.05469
79,VOGELVLEI,Total Water Demand,0,0,0
80,VREDENBERG,Total Water Demand,11119,4765.286133,15884.28516
81,WELGELEGEN,Total Water Demand,155181,66506.125,221687.0938
82,WP SHOWGROUNDS,Total Water Demand,23377,10018.71484,33395.71094
