,Suburb,VALUE,SUM,Losses (Theor),TOTAL
0,BARNET MOLOKWANA CORNER,Total Water Demand,25.0,32.60368347167969,57.60368347167969
1,BONGANI,Total Water Demand,654.0,852.912353515625,1506.912353515625
2,DRIFTSANDS_KHAYA,Total Water Demand,530.0,691.1981811523438,1221.1982421875
3,EKUPHUMULENI,Total Water Demand,10465.0,13647.90234375,24112.8984375
4,ENKANINI INFORMAL SETTLEMENT,Total Water Demand,66.0,28.285715103149414,94.28571319580078
5,EYETHU,Total Water Demand,166267.0,216836.546875,383104.0625
6,GOOD HOPE,Total Water Demand,0.0,0,0.0
7,GRACELAND,Total Water Demand,2844.0,3708.99560546875,6552.99365234375
8,HARARE,Total Water Demand,134900.0,175929.921875,310829.34375
9,ILITHA PARK,Total Water Demand,133509.0,57218.140625,190727.25
10,KHAYA,Total Water Demand,115592.0,150749.328125,266340.71875
11,KUYASA,Total Water Demand,167287.0,218166.328125,385453.53125
12,MANDELA PARK,Total Water Demand,244573.0,318958.5,563531.875
13,MONWABISI_KHAYA,Total Water Demand,0.0,0,0.0
14,MXOLISI PHETANI,Total Water Demand,71522.0,93275.2265625,164797.21875
15,NONQUBELA,Total Water Demand,53255.0,69452.6640625,122708.734375
16,NO_CATEGORY,Total Water Demand,2124.0,910.2857055664062,3034.28564453125
17,SABATA DALINDYEBO SQUARE,Total Water Demand,11536.0,15044.6357421875,26580.66796875
18,SILVERTOWN,Total Water Demand,0.0,0,0.0
19,THEMBOKWEZI,Total Water Demand,37115.0,48403.4375,85518.46875
20,UMRHABULO TRIANGLE,Total Water Demand,272463.0,355330.8125,627792.75
21,VICTORIA MXENGE,Total Water Demand,71597.0,93374.125,164970.609375
