,Suburb,VALUE,SUM,Losses (Theor),TOTAL
0,BIZWENI,Total Water Demand,154438.828125,51479.609375,205918.4375
1,DRIFTSANDS,Total Water Demand,171396.34375,223526.09375,394922.375
2,EERSTERIVIER INDUSTRIA,Total Water Demand,49046.0,30833.4765625,79879.4765625
3,FAURE_Oost,Total Water Demand,238034.03125,149643.515625,387677.53125
4,FIRGROVE,Total Water Demand,100780.890625,33593.63671875,134374.546875
5,HELDERVUE,Total Water Demand,422162.65625,140720.890625,562883.5625
6,HELD_UNKNOWN,Total Water Demand,1521.0,507,2028.0
7,HELENA HEIGHTS,Total Water Demand,147040.0,49013.328125,196053.3125
8,LWANDLE,Total Water Demand,319735.9375,106578.6796875,426314.71875
9,MABILLE PARK,Total Water Demand,86925.609375,50397.6328125,137323.25
10,MACASSAR,Total Water Demand,316241.375,105413.8359375,421655.34375
11,MFULENI,Total Water Demand,1583173.25,2730649,4313818.0
12,NO_CATEGORY,Total Water Demand,29868984.0,9956325,39825300.0
13,SONEIKE II,Total Water Demand,188569.6875,109328.7109375,297898.6875
14,STNBOSCH FARMS (BLUE DOWNS),Total Water Demand,960.0,603.517822265625,1563.517822265625
15,STRAND,Total Water Demand,2553704.75,851236.125,3404944.5
