,Suburb,VALUE,SUM,Losses (Theor),TOTAL
0,BEACON VALLEY,Total Water Demand,1015542.125,375611.1875,1391154.75
1,CROSSROADS_KHAYA,Total Water Demand,950772.875,351655.75,1302431.0
2,EASTRIDGE,Total Water Demand,852128.5625,315170.34375,1167298.5
3,IKWEZI PARK,Total Water Demand,448881.96875,166024.859375,614907.4375
4,LENTEGEUR,Total Water Demand,1494641.5,552813.8125,2047452.125
5,MITCHELLS PLAIN TOWN CENTRE,Total Water Demand,115588.5625,42751.9296875,158340.484375
6,PHILIPPI_KHAYA,Total Water Demand,3918627.75,1449355.75,5368000.0
7,PORTLAND,Total Water Demand,933923.375,345423.84375,1279347.75
8,ROCKLANDS_KHAYA,Total Water Demand,624638.0625,231030.234375,855667.625
9,TAFELSIG,Total Water Demand,1743904.375,645006.3125,2388910.75
10,WELTEVREDEN VALLEY,Total Water Demand,1388731.0,513640.75,1902370.875
11,WESTRIDGE,Total Water Demand,807498.4375,298663.875,1106162.0
12,WOLFGAT NATURE RESERVE,Total Water Demand,0.0,0,0.0
13,WOODLANDS,Total Water Demand,899265.125,332605.15625,1231869.0
