,Suburb,VALUE,SUM,Losses (Theor),TOTAL
0,ATHLONE,Total Water Demand,251168.0,58915.765625,310081.5
1,BELGRAVIA,Total Water Demand,132573.0,31097.3359375,163669.078125
2,BELTHORN ESTATE,Total Water Demand,93951.0,22037.87890625,115988.6875
3,BRIDGETOWN,Total Water Demand,142204.0,33356.42578125,175558.421875
4,CRAWFORD,Total Water Demand,105611.0,24772.947265625,130383.734375
5,CROSSROADS,Total Water Demand,12021.0,2819.7421875,14840.7490234375
6,CT_UNKNOWN,Total Water Demand,24.0,5.629629611968994,29.629629135131836
7,EAGLE PARK,Total Water Demand,37427.0,8779.1884765625,46206.140625
8,FALSE BAY COASTAL PARK,Total Water Demand,135.0,31.66666603088379,166.6666717529297
9,GATESVILLE,Total Water Demand,27980.0,6563.21240234375,34543.1953125
10,GRASSY PARK,Total Water Demand,112825.0,26465.0625,139288.59375
11,GUGULETU,Total Water Demand,736899.0,172845.390625,909777.6875
12,HANOVER PARK,Total Water Demand,61130.0,14339.208984375,75468.0546875
13,HATTON,Total Water Demand,5149.0,1207.790283203125,6356.7900390625
14,HAZENDAL,Total Water Demand,61493.0,14424.2958984375,75917.0859375
15,HEIDEVELD,Total Water Demand,123736.0,29024.451171875,152759.109375
16,LANGA,Total Water Demand,0.0,0,0.0
17,LANSDOWNE,Total Water Demand,369770.0,86735.3984375,456510.21875
18,LAVENDER HILL,Total Water Demand,85864.0,20140.962890625,106003.2734375
19,LOTUS RIVER,Total Water Demand,124057.0,29099.603515625,153152.40625
20,MANENBERG,Total Water Demand,617763.0,144903.890625,762681.1875
21,MOUNTVIEW,Total Water Demand,20501.0,4808.87890625,25309.875
22,MOWBRAY,Total Water Demand,2.0,0.4691357910633087,2.4691357612609863
23,MUIZENBERG,Total Water Demand,758389.0,177893.25,936283.8125
24,NEWFIELDS,Total Water Demand,117437.0,27546.91015625,144983.40625
25,NO_CATEGORY,Total Water Demand,153194.0,35934.1484375,189123.734375
26,NYANGA,Total Water Demand,367667.0,86241.296875,453912.90625
27,OTTERY,Total Water Demand,177444.0,41622.5859375,219063.515625
28,PARKWOOD,Total Water Demand,32634.0,7654.89990234375,40288.7578125
29,PEACOCK CLOSE,Total Water Demand,4366.0,1024.1234130859375,5390.1240234375
30,PELIKAN HEIGHTS,Total Water Demand,8015.0,1880.061767578125,9895.0673828125
31,PELIKAN PARK,Total Water Demand,47336.0,11103.5302734375,58439.0625
32,PENLYN ESTATE,Total Water Demand,20907.0,4904.11181640625,25811.119140625
33,PHILIPPI,Total Water Demand,308314.0,72320.53125,380635.375
34,PINATI,Total Water Demand,20674.0,4849.45654296875,25523.4453125
35,ROCKLANDS,Total Water Demand,68413.0,16047.53515625,84459.75
36,RONDEBOSCH EAST,Total Water Demand,90792.0,21296.884765625,112088.7265625
37,RYLANDS,Total Water Demand,41105.0,9641.9208984375,50746.8828125
38,SAND INDUSTRIA,Total Water Demand,10000.0,2345.679443359375,12345.6787109375
39,SILVERTOWN,Total Water Demand,148013.0,34719.04296875,182730.671875
40,SOUTHFIELD,Total Water Demand,0.0,0,0.0
41,STRANDFONTEIN,Total Water Demand,307201.0,72058.515625,379265.96875
42,SURREY,Total Water Demand,109636.0,25717.056640625,135352.546875
43,SYBRAND PARK,Total Water Demand,90408.0,21206.80859375,111614.7109375
44,VANGUARD,Total Water Demand,74690.0,17519.87109375,92209.8203125
45,VRYGROND,Total Water Demand,50749.0,11904.1005859375,62652.9375
46,WETTON,Total Water Demand,31866.0,7474.7421875,39340.70703125
47,ZEEKOEIVLEI,Total Water Demand,22626.0,5307.3349609375,27933.341796875
