,Suburb,VALUE,SUM,Losses,TOTAL
0,BERGVLIET,Total Water Demand,549627.0625,128924.828125,678551.5
1,BISHOPSCOURT,Total Water Demand,366728.84375,86022.8359375,452751.59375
2,BLOUBERG FARMS,Total Water Demand,98933.0,24733.25,123666.25
3,CAPRI,Total Water Demand,223398.0,52402.01171875,275800.03125
4,CASTLE ROCK,Total Water Demand,0.0,0,0.0
5,CLAREMONT,Total Water Demand,2345330.0,550138.6875,2895467.5
6,CLOVELLY,Total Water Demand,75075.625,17610.330078125,92685.9296875
7,CONSTANTIA,Total Water Demand,2300245.75,539563.875,2839806.75
8,DIEPRIVER,Total Water Demand,444437.8125,104250.921875,548688.6875
9,ELFINDALE,Total Water Demand,341123.0625,80016.5078125,421139.6875
10,FISH HOEK,Total Water Demand,1010536.0,237039.21875,1247575.25
11,GLENCAIRN,Total Water Demand,613140.25,143822.953125,756963.875
12,HEATHFIELD,Total Water Demand,290679.09375,68183.9765625,358863.15625
13,HEATHFIELD_SP,Total Water Demand,0.0,0,0.0
14,HOUT BAY,Total Water Demand,2076348.75,487043.8125,2563391.25
15,KALK BAY,Total Water Demand,151092.859375,35441.53125,186534.40625
16,KENILWORTH,Total Water Demand,1113231.75,261128.609375,1374358.875
17,KIRSTENHOF,Total Water Demand,338628.625,79431.4140625,418059.84375
18,KOMMETJIE,Total Water Demand,458054.53125,107444.84375,565499.625
19,LAKESIDE,Total Water Demand,306546.40625,71905.9296875,378452.1875
20,LLANDUDNO,Total Water Demand,173265.90625,40642.62109375,213908.484375
21,MEADOWRIDGE,Total Water Demand,257663.375,60439.56640625,318102.75
22,MISTY CLIFFS,Total Water Demand,11270.0,2643.580322265625,13913.583984375
23,MOWBRAY_CT,Total Water Demand,491671.8125,115330.4140625,607002.5625
24,MUIZENBERG,Total Water Demand,757125.125,177597.3125,934722.5625
25,NEWLANDS,Total Water Demand,1123647.0,263571.34375,1387217.625
26,NOORDHOEK,Total Water Demand,601427.375,141075.578125,742503.3125
27,OCEAN VIEW,Total Water Demand,531612.625,124699.1953125,656312.0
28,PLUMSTEAD,Total Water Demand,1487278.0,348867.75,1836146.375
29,RETREAT,Total Water Demand,1182287.5,277326.28125,1459612.0
30,RONDEBOSCH_CT,Total Water Demand,2204187.0,517031.46875,2721219.25
31,ROSEBANK_CT,Total Water Demand,427863.4375,100363.0390625,528226.5
32,SCARBOROUGH,Total Water Demand,51246.07421875,12020.6806640625,63266.74609375
33,SIMON'S TOWN,Total Water Demand,707925.0,166056.546875,873981.875
34,SMITSWINKELBAAI,Total Water Demand,0.0,0,0.0
35,SOUTHFIELD,Total Water Demand,437574.15625,102640.765625,540214.9375
36,ST JAMES,Total Water Demand,91053.0,21358.1171875,112411.140625
37,STEENBERG,Total Water Demand,958210.6875,224765.40625,1182979.25
38,SUNNYDALE,Total Water Demand,753537.8125,176755.265625,930296.5625
39,SUNVALLEY,Total Water Demand,144943.09375,33999.00390625,178942.015625
40,TABLE MOUNTAIN_SP,Total Water Demand,266.0,62.39506149291992,328.3950500488281
41,TOKAI,Total Water Demand,1361273.125,319310.90625,1680583.375
42,WEST LAKE,Total Water Demand,740997.625,173814.3125,914811.8125
43,WYNBERG,Total Water Demand,1612833.75,378319,1991154.875
44,WYNBERG NU,Total Water Demand,0.0,0,0.0
